PERMNO,date,PRC,CFACPR
77178,01/31/2007,37.66000,1
77178,02/28/2007,40.30010,1
77178,03/30/2007,42.66000,1
77178,04/30/2007,43.80000,1
77178,05/31/2007,42.95000,1
77178,06/29/2007,43.39000,1
77178,07/31/2007,41.65000,1
77178,08/31/2007,39.89000,1
77178,09/28/2007,42.26000,1
77178,10/31/2007,42.73000,1
77178,11/30/2007,40.78000,1
77178,12/31/2007,39.35000,1
77178,01/31/2008,42.42000,1
77178,02/29/2008,42.38990,1
77178,03/31/2008,41.00000,1
77178,04/30/2008,43.19000,1
77178,05/30/2008,48.54000,1
77178,06/30/2008,44.37000,1
77178,07/31/2008,55.34000,1
77178,08/29/2008,52.65000,1
77178,09/30/2008,42.97000,1
77178,10/31/2008,38.26000,1
77178,11/28/2008,33.57000,1
77178,12/31/2008,35.83000,1
77178,01/30/2009,34.55000,1
77178,02/27/2009,33.43000,1
77178,03/31/2009,38.91000,1
77178,04/30/2009,42.32000,1
77178,05/29/2009,43.59000,1
77178,06/30/2009,45.20000,1
77178,07/31/2009,46.21000,1
77178,08/31/2009,46.42000,1
77178,09/30/2009,44.98000,1
77178,10/30/2009,41.33000,1
77178,11/30/2009,45.00000,1
77178,12/31/2009,46.26000,1
77178,01/29/2010,39.19000,1
77178,02/26/2010,36.68290,1
77178,03/31/2010,41.96000,1
77178,04/30/2010,38.68000,1
77178,05/28/2010,35.56000,1
77178,06/30/2010,32.84000,1
77178,07/30/2010,38.08000,1
77178,08/31/2010,38.30000,1
77178,09/30/2010,45.13250,1
77178,10/29/2010,45.16000,1
77178,11/30/2010,46.82000,1
77178,12/31/2010,49.49000,1
77178,01/31/2011,54.13000,1
77178,02/28/2011,59.58000,1
77178,03/31/2011,54.83000,1
77178,04/29/2011,57.09000,1
77178,05/31/2011,58.59000,1
77178,06/30/2011,56.79000,1
77178,07/29/2011,54.78000,1
77178,08/31/2011,51.46000,1
77178,09/30/2011,48.63000,1
77178,10/31/2011,51.60000,1
77178,11/30/2011,54.80000,1
77178,12/30/2011,54.70000,1
77178,01/31/2012,58.82000,1
77178,02/29/2012,62.18000,1
77178,03/30/2012,68.06000,1
77178,04/30/2012,63.83000,1
77178,05/31/2012,57.31000,1
77178,06/29/2012,55.68000,1
77178,07/31/2012,59.68000,1
77178,08/31/2012,61.46000,1
77178,09/28/2012,62.47000,1
77178,10/31/2012,58.61000,1
77178,11/30/2012,63.62000,1
77178,12/31/2012,61.85960,1
77178,01/31/2013,66.02000,1
77178,02/28/2013,65.64000,1
77178,03/28/2013,66.94000,1
77178,04/30/2013,61.60000,1
77178,05/31/2013,63.48000,1
77178,06/28/2013,61.09000,1
77178,07/31/2013,64.56200,1
77178,08/30/2013,66.28000,1
77178,09/30/2013,67.32000,1
77178,10/31/2013,69.49000,1
77178,11/29/2013,73.58000,1
77178,12/31/2013,74.25000,1
77178,01/31/2014,74.22000,1
77178,02/28/2014,75.29000,1
77178,03/31/2014,78.86000,1
77178,04/30/2014,78.71000,1
77178,05/30/2014,80.45000,1
77178,06/30/2014,79.20000,1
77178,07/31/2014,73.72000,1
77178,08/29/2014,76.10000,1
77178,09/30/2014,74.77000,1
77178,10/31/2014,78.51000,1
77178,11/28/2014,72.90000,1
77178,12/31/2014,74.33000,1
77178,01/30/2015,62.46000,1
77178,02/27/2015,72.51000,1
77178,03/31/2015,69.34000,1
77178,04/30/2015,68.00000,1
77178,05/29/2015,69.68000,1
77178,06/30/2015,62.63000,1
77178,07/31/2015,64.39000,1
77178,08/31/2015,56.58000,1
77178,09/30/2015,53.73000,1
77178,10/30/2015,59.42000,1
77178,11/30/2015,48.79000,1
77178,12/31/2015,49.98500,1
77178,01/29/2016,45.34000,1
77178,02/29/2016,50.79000,1
77178,03/31/2016,51.14000,1
77178,04/29/2016,50.52000,1
77178,05/31/2016,54.92000,1
77178,06/30/2016,53.57000,1
77178,07/29/2016,62.58000,1
77178,08/31/2016,63.07000,1
77178,09/30/2016,68.50000,1
77178,10/31/2016,68.72000,1
77178,11/30/2016,68.13000,1
77178,12/30/2016,65.20000,1
77178,01/31/2017,53.43000,1
77178,02/28/2017,56.48000,1
77178,03/31/2017,57.34000,1
77178,04/28/2017,53.74000,1
77178,05/31/2017,57.27000,1
77178,06/30/2017,55.22000,1
77178,07/31/2017,53.19000,1
77178,08/31/2017,52.27000,1
77178,09/29/2017,51.84000,1
77178,10/31/2017,51.01000,1
77178,11/30/2017,66.34000,1
77178,12/29/2017,64.02000,1
77178,01/31/2018,68.25000,1
77178,02/28/2018,65.00000,1
77178,03/29/2018,55.41000,1
77178,04/30/2018,51.01000,1
77178,05/31/2018,58.12000,1
77178,06/29/2018,56.12000,1
77178,07/31/2018,64.09000,1
77178,08/31/2018,68.71000,1
77178,09/28/2018,72.03000,1
77178,10/31/2018,62.89000,1
77178,11/30/2018,58.26000,1
77178,12/31/2018,56.91000,1
90878,01/31/2007,142.82001,2
90878,02/28/2007,140.50000,2
90878,03/30/2007,141.47000,2
90878,04/30/2007,147.15601,2
90878,05/31/2007,152.64000,2
90878,06/29/2007,149.38000,2
90878,07/31/2007,144.10001,2
90878,08/31/2007,146.22000,2
90878,09/28/2007,151.20000,2
90878,10/31/2007,153.91000,2
90878,11/30/2007,146.95000,2
90878,12/31/2007,145.14999,2
90878,01/31/2008,136.20000,2
90878,02/29/2008,132.80000,2
90878,03/31/2008,131.00000,2
90878,04/30/2008,137.39999,2
90878,05/30/2008,140.17000,2
90878,06/30/2008,64.09000,1
90878,07/31/2008,63.69000,1
90878,08/29/2008,64.62000,1
90878,09/30/2008,58.36000,1
90878,10/31/2008,48.16000,1
90878,11/28/2008,44.30000,1
90878,12/31/2008,44.74000,1
90878,01/30/2009,41.14000,1
90878,02/27/2009,36.81000,1
90878,03/31/2009,39.58000,1
90878,04/30/2009,43.93000,1
90878,05/29/2009,46.33000,1
90878,06/30/2009,46.27000,1
90878,07/31/2009,49.85000,1
90878,08/31/2009,51.70000,1
90878,09/30/2009,53.59000,1
90878,10/30/2009,52.18000,1
90878,11/30/2009,55.15000,1
90878,12/31/2009,56.37000,1
90878,01/29/2010,54.36000,1
90878,02/26/2010,56.23000,1
90878,03/31/2010,59.59000,1
90878,04/30/2010,60.89000,1
90878,05/28/2010,56.09000,1
90878,06/30/2010,52.56000,1
90878,07/30/2010,56.25000,1
90878,08/31/2010,53.60000,1
90878,09/30/2010,58.37000,1
90878,10/29/2010,60.72000,1
90878,11/30/2010,61.03000,1
90878,12/31/2010,64.93000,1
90878,01/31/2011,66.26000,1
90878,02/28/2011,68.71000,1
90878,03/31/2011,68.71000,1
90878,04/29/2011,70.70000,1
90878,05/31/2011,69.95000,1
90878,06/30/2011,68.40000,1
90878,07/29/2011,66.85000,1
90878,08/31/2011,62.78000,1
90878,09/30/2011,57.72000,1
90878,10/31/2011,64.28000,1
90878,11/30/2011,64.04000,1
90878,12/30/2011,64.30000,1
90878,01/31/2012,67.56000,1
90878,02/29/2012,70.41000,1
90878,03/30/2012,72.26000,1
90878,04/30/2012,71.80000,1
90878,05/31/2012,67.33000,1
90878,06/29/2012,69.70000,1
90878,07/31/2012,70.31000,1
90878,08/31/2012,72.21000,1
90878,09/28/2012,73.65000,1
90878,10/31/2012,72.32000,1
